%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1473672898115926101,0.0,0.0,0.0,0.0,0.0,0.0
1473672898132612615,0.0,0.0,0.0,0.0,0.0,0.0
1473672898149273433,0.0,0.0,0.0,0.0,0.0,0.0
1473672898165917795,0.0,0.0,0.0,0.0,0.0,0.0
1473672898182637379,0.0,0.0,0.0,0.0,0.0,0.0
1473672898199256584,0.0,0.0,0.0,0.0,0.0,0.0
1473672898215929741,0.0,0.0,0.0,0.0,0.0,0.0
1473672898232569646,0.0,0.0,0.0,0.0,0.0,0.0
1473672898249268680,0.0,0.0,0.0,0.0,0.0,0.0
1473672898265926110,0.0,0.0,0.0,0.0,0.0,0.0
1473672898282601026,0.0,0.0,0.0,0.0,0.0,0.0
1473672898299282318,0.0,0.0,0.0,0.0,0.0,0.0
1473672898315896325,0.0,0.0,0.0,0.0,0.0,0.0
1473672898332598326,0.0,0.0,0.0,0.0,0.0,0.0
1473672898349242476,0.0,0.0,0.0,0.0,0.0,0.0
1473672898365927690,0.0,0.0,0.0,0.0,0.0,0.0
1473672898382604443,0.0,0.0,0.0,0.0,0.0,0.0
1473672898399254095,0.0,0.0,0.0,0.0,0.0,0.0
1473672898415997626,0.0,0.0,0.0,0.0,0.0,0.0
1473672898432603780,0.0,0.0,0.0,0.0,0.0,0.0
1473672898449287500,0.0,0.0,0.0,0.0,0.0,0.0
1473672898465909622,0.0,0.0,0.0,0.0,0.0,0.0
1473672898482586192,0.0,0.0,0.0,0.0,0.0,0.0
1473672898499257398,0.0,0.0,0.0,0.0,0.0,0.0
1473672898515925585,0.0,0.0,0.0,0.0,0.0,0.0
1473672898532585918,0.0,0.0,0.0,0.0,0.0,0.0
1473672898549275801,0.0,0.0,0.0,0.0,0.0,0.0
1473672898565927571,0.0,0.0,0.0,0.0,0.0,0.0
1473672898582564125,0.0,0.0,0.0,0.0,0.0,0.0
1473672898599223063,0.0,0.0,0.0,0.0,0.0,0.0
1473672898615865039,0.0,0.0,0.0,0.0,0.0,0.0
1473672898632610857,0.0,0.0,0.0,0.0,0.0,0.0
1473672898649222974,0.0,0.0,0.0,0.0,0.0,0.0
1473672898665993767,0.0,0.0,0.0,0.0,0.0,0.0
1473672898682565038,0.0,0.0,0.0,0.0,0.0,0.0
1473672898699236335,0.0,0.0,0.0,0.0,0.0,0.0
1473672898715932970,0.0,0.0,0.0,0.0,0.0,0.0
1473672898732567788,0.0,0.0,0.0,0.0,0.0,0.0
1473672898749218001,0.0,0.0,0.0,0.0,0.0,0.0
1473672898765914425,0.0,0.0,0.0,0.0,0.0,0.0
1473672898782566363,0.0,0.0,0.0,0.0,0.0,0.0
1473672898799238034,0.0,0.0,0.0,0.0,0.0,0.0
1473672898815939381,0.0,0.0,0.0,0.0,0.0,0.0
1473672898832559699,0.0,0.0,0.0,0.0,0.0,0.0
1473672898849249788,0.0,0.0,0.0,0.0,0.0,0.0
1473672898865916775,0.0,0.0,0.0,0.0,0.0,0.0
1473672898882592353,0.0,0.0,0.0,0.0,0.0,0.0
1473672898899263726,0.0,0.0,0.0,0.0,0.0,0.0
1473672898915912118,0.0,0.0,0.0,0.0,0.0,0.0
1473672898932597463,0.0,0.0,0.0,0.0,0.0,0.0
1473672898949265716,0.0,0.0,0.0,0.0,0.0,0.0
1473672898965909945,0.0,0.0,0.0,0.0,0.0,0.0
1473672898982555139,0.0,0.0,0.0,0.0,0.0,0.0
1473672898999240028,0.0,0.0,0.0,0.0,0.0,0.0
1473672899015938759,0.0,0.0,0.0,0.0,0.0,0.0
1473672899032559528,0.0,0.0,0.0,0.0,0.0,0.0
1473672899049224155,0.0,0.0,0.0,0.0,0.0,0.0
1473672899065959005,0.0,0.0,0.0,0.0,0.0,0.0
1473672899082650333,0.0,0.0,0.0,0.0,0.0,0.0
1473672899099252339,0.0,0.0,0.0,0.0,0.0,0.0
1473672899115897446,0.0,0.0,0.0,0.0,0.0,0.0
1473672899132593414,0.0,0.0,0.0,0.0,0.0,0.0
1473672899149251542,0.0,0.0,0.0,0.0,0.0,0.0
1473672899166016268,0.0,0.0,0.0,0.0,0.0,0.0
1473672899182612803,0.0,0.0,0.0,0.0,0.0,0.0
1473672899199269761,0.0,0.0,0.0,0.0,0.0,0.0
1473672899215948483,0.0,0.0,0.0,0.0,0.0,0.0
1473672899232597204,0.0,0.0,0.0,0.0,0.0,0.0
1473672899249279213,0.0,0.0,0.0,0.0,0.0,0.0
1473672899265924039,0.0,0.0,0.0,0.0,0.0,0.0
1473672899282589702,0.0,0.0,0.0,0.0,0.0,0.0
1473672899299247850,0.0,0.0,0.0,0.0,0.0,0.0
1473672899315938704,0.0,0.0,0.0,0.0,0.0,0.0
1473672899332560331,0.0,0.0,0.0,0.0,0.0,0.0
1473672899349259132,0.0,0.0,0.0,0.0,0.0,0.0
1473672899365919208,0.0,0.0,0.0,0.0,0.0,0.0
1473672899382589294,0.0,0.0,0.0,0.0,0.0,0.0
1473672899399277077,0.0,0.0,0.0,0.0,0.0,0.0
1473672899415892509,0.0,0.0,0.0,0.0,0.0,0.0
1473672899432586364,0.0,0.0,0.0,0.0,0.0,0.0
1473672899449205785,0.0,0.0,0.0,0.0,0.0,0.0
1473672899465919255,0.0,0.0,0.0,0.0,0.0,0.0
1473672899482576108,0.0,0.0,0.0,0.0,0.0,0.0
1473672899499248687,0.0,0.0,0.0,0.0,0.0,0.0
